kind,unit_id,IDLE,TRAVEL,SERVICE,CHARGING,Q_CHARGE,Q_TASK
GPU,0,441.0885245901302,11.300000000000011,792.5999999995884,742.5852459016393,856.4262295086422,0.0
GPU,1,1231.8196721311479,6.599999999999682,240.0,601.9639344262296,763.6163934426229,0.0
GPU,2,612.4934426226997,9.89999999999975,644.299999999696,631.0934426229513,946.2131147546532,0.0
GPU,3,1528.9032786885568,7.999999999999773,335.0999999999681,599.5639344262297,372.4327868852457,0.0
GPU,4,344.13606557373447,8.100000000000096,709.8999999996181,1031.7754098360654,750.088524590582,0.0
GPU,5,1253.2721311475173,7.400000000000318,240.0,603.5639344262295,739.763934426253,0.0
GPU,6,1515.472131147541,11.400000000000205,400.0,603.5639344262297,313.56393442622925,0.0
GPU,7,1270.9442622950758,6.399999999999864,208.4000000000019,523.8590163934471,834.3967213114754,0.0
GPU,8,1099.3098360655558,6.599999999999682,240.0,601.9639344262296,896.1262295082149,0.0
GPU,9,645.840983606133,9.500000000000114,467.5999999998112,770.9065573770449,950.1524590170108,0.0
FUEL,0,844.2803278688299,20.400000000000148,299.99999999999994,285.3016393442623,908.4180327873421,485.5999999995656
FUEL,1,2101.9000000005585,8.0,120.0,0.0,0.0,614.0999999994415
FUEL,2,1714.9737704918036,10.799999999999727,150.0,143.1508196721311,825.0754098360655,0.0
FUEL,3,1522.93934426232,23.00000000000013,330.0,285.7016393442623,654.6590163934428,27.699999999974807
FUEL,4,1733.095081967415,16.20000000000016,210.0,146.750819672131,516.1540983606556,221.79999999979827
WATER,0,1542.8819672131146,29.200000000000347,279.99999999999994,286.50819672131126,705.4098360655737,0.0
WATER,1,2076.800000000568,12.599999999999909,130.0,0.0,0.0,624.5999999994319
WATER,2,1738.73934426247,17.999999999999886,190.0,140.15409836065578,564.4065573770496,192.69999999982474
WATER,3,1335.0901639345097,15.800000000000068,140.0,144.95409836065573,1011.0557377050063,197.09999999982801
CLEAN,0,1888.2737704921292,9.199999999999932,200.0,158.04262295081958,230.18360655737706,358.2999999996741
CLEAN,1,2288.3000000003885,3.7999999999999545,125.0,0.0,0.0,426.89999999961174
CLEAN,2,1017.4918032787119,15.600000000000193,349.99999999999994,316.6852459016392,1018.6229508197557,125.59999999989304
CLEAN,3,1699.6065573770488,8.0,175.0,158.04262295081958,783.2508196721499,20.09999999998172
CLEAN,4,1693.0163934431548,13.600000000000136,275.0,158.84262295081965,118.74098360655739,584.7999999994681
CLEAN,5,1056.2000000000894,7.300000000000182,175.0,157.50983606557384,784.0901639349404,663.8999999993962
CLEAN,6,1350.7672131147542,15.599999999999982,349.99999999999994,316.6852459016395,810.9475409836064,0.0
CLEAN,7,1832.8967213114756,8.599999999999795,200.0,156.84262295081976,645.1606557377054,0.49999999999954525
CATERING,0,1246.8999999999521,7.900000000000318,175.0,118.7918032786888,781.708196721826,513.6999999995328
CATERING,1,1667.9459016397077,7.7999999999999545,200.0,155.6426229508197,413.11147540983586,399.49999999963666
CATERING,2,1118.0344262295173,16.200000000000216,349.99999999999994,317.8852459016392,1028.7803278688552,13.099999999988086
CATERING,3,1258.7245901639349,14.399999999999709,349.99999999999994,314.2852459016394,900.1901639344246,6.400000000001455
CATERING,4,1841.8524590163934,8.000000000000114,175.0,158.0426229508198,661.1049180327866,0.0
CATERING,5,1896.067213115015,11.199999999999932,250.0,159.24262295081962,241.19016393442598,286.2999999997396
CATERING,6,1224.2770491804054,8.399999999999636,175.0,158.84262295081953,807.1803278692032,470.29999999957226
CATERING,7,1309.0918032786306,8.0,175.0,158.0426229508198,705.8655737709935,487.99999999955617
BAGGAGE,0,1613.4311475410354,12.200000000000045,260.0,145.34754098360668,635.9213114754097,177.09999999994807
BAGGAGE,1,1669.3836065573778,9.800000000000068,180.0,147.34754098360645,736.8688524590164,100.59999999999945
BAGGAGE,2,1184.5114754098943,18.40000000000026,320.0,297.695081967213,710.193442623035,313.1999999998574
BAGGAGE,3,1503.5196721311459,9.799999999999955,160.0,149.34754098360645,897.4327868852695,123.89999999997826
BAGGAGE,4,1572.426229508496,15.800000000000182,260.0,150.5475409836065,376.2262295081965,468.9999999997008
BAGGAGE,5,1712.6491803278668,9.60000000000025,160.0,148.9475409836066,726.403278688525,86.40000000000146
BAGGAGE,6,573.7393442622455,17.60000000000008,320.0,296.0950819672132,994.2655737709981,642.2999999995432
BAGGAGE,7,1413.5770491803285,16.799999999999798,319.99999999999994,294.49508196721297,799.127868852459,0.0
BAGGAGE,8,899.2213114754218,16.800000000000026,319.99999999999994,294.49508196721285,821.2836065576494,492.19999999971606
BAGGAGE,9,1151.4426229508517,9.0,160.0,147.74754098360654,936.5098360658321,439.2999999997096
BAGGAGE,10,1630.7049180333584,15.19999999999959,280.0,148.5475409836066,41.74754098360654,727.799999999429
BAGGAGE,11,1562.6786885248125,12.39999999999975,220.0,147.74754098360654,523.7737704918031,377.3999999997782
